advisee,advisor,possibility,collaborate_times,start_year
Lujun Wang,Larry L. Schumaker,0.622261,2,2012,2012,1,2013,1
Lal Sood,Ralph McGarity,0.590036,1,1990,1990,1
Leendert Johannes du Toit,David R. Hanson,0.684054,1,2005,2005,1
Zhaoqing Zhang,Xianhong Fang,0.885379,1,1995,1995,1
Hisashige Ito,Atsuko Miyaji,0.622261,1,2010,2010,1
Soi Luong,Samuel Chong,0.71083,1,2010,2010,1
L. S. Han,B. Gao,0.726368,1,2006,2006,1
Marco Grimm,Rolf-Rainer Grigat,0.947492,2,2000,2000,1,2004,1
Edmund Kheng Kiat Tong,Khin Mi Mi Aung,0.922508,1,2010,2010,1
John M. Owen,Pamela F. Andrew,0.864861,1,1997,1997,1
J. R. Holm,John B. Anderson,0.873098,2,1986,1986,1,1987,1
David B. Karelitz,Barbara J. Meier,0.684054,1,2004,2004,1
Yun-Sun Yee,Jenq-Shiou Leu,0.954423,1,2010,2010,1
Thomas Renger,Georg Rößler,0.689847,1,1998,1998,1
Xiaoxiao Lian,Michelle X. Zhou,0.684054,3,2009,2009,1,2010,1,2012,1
David A. Pelta,Armando Blanco,0.899933,2,2000,2000,1,2001,1
Seung Heon Han,SangHyun Lee,0.928809,1,2009,2009,1
C. Lingeshwaraa,Radha Senthilkumar,0.976367,1,2011,2011,1
Sylvie Philipp-Foliguet,Laurent Guigues,0.942568,2,2006,2006,1,2008,1
Randall Svancara,Margaret Staton,0.684054,1,2008,2008,1
Martin Tanler,Mick Kerrigan,0.684054,2,2007,2007,1,2008,1
Tzai-Wen Chiu,Pau-Choo Chung,0.684054,1,2004,2004,1
Guochu Chen,Jinshou Yu,0.872541,3,2005,2005,2,2006,1
Ean Teng Khor,Sheng Hung Chung,0.861925,3,2011,2011,1,2015,2
Robert M. Nishikawa,Kunio Doi,0.67309,3,1994,1994,1,1995,1,2001,1
Celia Hung,David J. Allstot,0.684054,1,2004,2004,1
Lingzhi Cao,Norman C. Beaulieu,0.947492,9,2004,2004,4,2005,3,2007,2
C. Krishna Mohan,B. Yegnanarayana,0.947492,4,2004,2004,1,2007,1,2008,1,2010,1
Nancy H. Puttkammer,Mari M. Kitahata,0.684054,1,2008,2008,1
Sharmistha Maitra,Kimberly Newman,0.988726,1,2010,2010,1
Guangdou Liu,Xingping Xu,0.922508,1,2012,2012,1
Nir Kfir,Gil Ast,0.684054,1,2009,2009,1
W. Justin Barnes,Hazem H. Refai,0.940834,4,2008,2008,2,2009,1,2013,1
Melaina Haisfield,Martin G. Levine,0.572776,1,1999,1999,1
Michele Volpi,Devis Tuia,0.989288,19,2010,2010,1,2011,2,2012,4,2013,6,2014,4,2015,1,2016,1
U. H. Thygesen,M. W. Pedersen,0.85565,1,2011,2011,1
S.-S. Joo,B. G. Kim,0.726368,1,2000,2000,1
Gordon A. Manson,Peter Willett 0002,0.873098,6,1986,1986,1,1988,2,1990,1,1991,2
Keiichi Takagaki,Masayuki Murata,0.940834,1,2001,2001,1
Hong-Xun Lin,Mn-Ta Lee,0.922508,1,2012,2012,1
Karla F. Machado,Paulo Martins Engel,0.572776,1,1999,1999,1
Joachim Klink,Wilfried Sihn,0.726368,2,2001,2001,2
Daniel Elmhurst,Hiroyuki Yokoyama,0.684054,1,2009,2009,1
Biliana Alexandrova-Kabadjova,Edward P. K. Tsang,0.947492,4,2007,2007,1,2008,1,2011,2
Chng Chin Soon,Günther Ruske,0.940834,1,2003,2003,1
Obed Duardo,Hong Jiang,0.743492,1,1999,1999,1
Ianus Keller,Pieter Jan Stappers,0.947492,4,2001,2001,1,2004,3
Lih-Ching Chou,Darby Tien-Hao Chang,0.887717,1,2010,2010,1
Henk Nijmeijer,A. J. van der Schaft,0.952676,1,1985,1985,1
Peter Haslinger,Ulrich Bodenhofer,0.947492,1,2005,2005,1
Anne Vilain,Christian Abry,0.563,2,1998,1998,1,1999,1
Guy Royse,Michael Kaiser,0.622261,1,2011,2011,1
Maosheng Ye,Paul P. Lin,0.726368,1,2008,2008,1
Scott W. Brown,Mary LaPorta,0.832159,1,2002,2002,1
R. Grabowski,P. Wurll,0.734512,1,1985,1985,1
Michael Fingerhut,David Bainbridge,0.737839,1,2001,2001,1
Jesus Carmona,Ned Kock,0.947492,3,2006,2006,1,2008,1,2009,1
Nitin Lahane,Amit Prakash,0.684054,1,2002,2002,1
Tahir Cader,Andrés Márquez,0.922508,1,2012,2012,1
Cuixiang Zhang,Xiaoli Li 0001,0.684054,1,2009,2009,1
C. H. Sing,Y. Q. Zhang,0.684054,1,2007,2007,1
Xiao-bo Yue,Kai-qing Zhou,0.85565,1,2010,2010,1
Linpeng Jin,Yang Lou,0.926127,2,2011,2011,1,2013,1
Yuhei Onishi,Yuichi Tsujita,0.684054,1,2008,2008,1
Matei T. Ciocarlie,Peter K. Allen,0.947492,11,2005,2005,1,2007,2,2008,2,2009,5,2010,1
David Lake,Chitra Balakrishna,0.942568,1,2015,2015,1
Kuen-Long Leu,Long-Wen Chang,0.885379,1,1990,1990,1
Xenia Hertzenberg,Andrew V. Poliakov,0.726368,1,2007,2007,1
Lauren M. Schmitt,Nicole Shea,0.922508,1,2011,2011,1
K.-J. Cho,J.-G. Chung,0.872541,1,2007,2007,1
Christel Hohenegger,Peter J. Mucha,0.947492,1,2007,2007,1
Ofir B. Degani,Yanjie Wang,0.684054,1,2009,2009,1
Kuen-Long Lee,Ling-Hwei Chen,0.885379,1,1990,1990,1
Eduardo Sudol Forbici,Manoel Camillo Penna,0.902865,1,1998,1998,1
Danny Davies,Chris McMahon,0.726368,1,2005,2005,1
Ding Liao,Zhen Yang,0.684054,1,2008,2008,1
Anisoara Nica,Elke A. Rundensteiner,0.954872,12,1995,1995,1,1997,4,1998,3,1999,3,2002,1
Jodi C. Williams,Katherine W. McCain,0.684054,1,2002,2002,1
Feng Pen,Di-Ming Ai,0.630726,1,2011,2011,1
Musa Mohd Mokji,Syed Abdul Rahman Abu-Bakar,0.947492,4,2004,2004,1,2007,1,2010,1,2011,1
Geliztle Alejandra Parra Escamilla,Victor Eduardo López Padilla,0.926378,1,2012,2012,1
Shenjun Qi,Huahu Ke,0.832159,1,2009,2009,1
Shenshen Li,Liangfu Chen,0.947492,10,2009,2009,6,2010,2,2012,1,2013,1
Adrian Colbrook,Clemens-August Thole,0.868306,2,1994,1994,1,1997,1
Rares Florin Boian,Florian Mircea Boian,0.726368,1,2008,2008,1
Nicola Greggio,Paolo Dario,0.940834,9,2008,2008,2,2010,3,2011,2,2012,1,2014,1
Seung-Hyun Jung,Wan-Sup Cho,0.940834,3,2006,2006,2,2011,1
Young-Moo Na,Jungwon Yoon,0.684054,1,2003,2003,1
Yinge Han,Wei Rao,0.684054,1,2007,2007,1
Laurence C. Jayet Bray,Corey M. Thibeault,0.926127,3,2011,2011,1,2012,1,2013,1
Yanhui Lai,Lizhong Song,0.832159,2,2008,2008,1,2010,1
James Allan,James P. Callan,0.922633,5,1995,1995,1,1996,1,1997,1,1998,1,1999,1
Oscar Serrano Serrano,Vicente Matellán Olivera,0.684054,1,2006,2006,1
Jan Blom,Andrew F. Monk,0.942568,1,2001,2001,1
S. Mitsuishi,Teruyuki Matsui,0.572776,1,1995,1995,1
Liu Renfen,Changyou Zhang,0.726368,1,2007,2007,1
Richard Samade,Boris Kogan,0.947492,3,2004,2004,1,2007,1,2008,1
Biswajit Das,Anupam Basu,0.928809,4,2011,2011,2,2013,2
Victor V. Kryssanov,Koh Kakusho,0.922633,6,2001,2001,2,2002,2,2004,1,2005,1
Anne-Marie Vercoustre,François Paradis,0.934687,4,1997,1997,1,1998,2,1999,1
Minghui Mo,Lei Wang,0.684054,1,2007,2007,1
Minghui Ma,Zhe Lin 0002,0.942568,3,2014,2014,3
Kaiduan Xie,Victor C. M. Leung,0.940834,2,2003,2003,1,2005,1
Tetsuya Ichikawa,Mitsuru Matsui,0.940834,2,2000,2000,2
Lars Holm Christiansen,Nissan Thiruravichandran,0.961934,1,2011,2011,1
M. A. Klump,Wolfgang K. Epple,0.761561,1,1984,1984,1
Shelly Lotenberg,Hayit Greenspan,0.940834,3,2009,2009,3
Matija Pipan,Bojan Srdjevic,0.977532,1,2012,2012,1
Carlos Enrique Cuesta Quintero,Manuel Barrio-Solórzano,0.940834,9,2000,2000,1,2001,2,2002,2,2004,1,2005,2,2006,1
Vadim D. Kotov,Vladimir I. Vasilyev,0.872541,4,2009,2009,1,2010,2,2012,1
Nur Arad,Daniel Reisfeld,0.950333,2,1994,1994,1,1995,1
Jon Howell,Mark H. Montague,0.860631,1,1999,1999,1
Duck O. Kim,William R. D'Angelo,0.947492,1,2000,2000,1
Suzanne C. Perkins,Emily R. Stern,0.922508,1,2010,2010,1
Charlie Gracie,David F. Bacon,0.684054,1,2008,2008,1
Valentina Orsini,Leopoldo Jetto,0.726368,8,2006,2006,1,2009,3,2010,2,2012,1,2013,1
Pradeep Chowriappa,Sumeet Dua,0.947492,7,2008,2008,1,2009,2,2010,1,2013,2,2014,1
S. Shanthi,S. Kalpakam,0.726368,1,2001,2001,1
Vijay Bansal,Ankuj Gupta,0.922508,1,2012,2012,1
R. Gallay,Hamid Gualous,0.977532,2,2010,2010,1,2012,1
Baktash Boghrati,Sachin S. Sapatnekar,0.942568,3,2010,2010,1,2011,1,2012,1
Peter Hurley,Richard J. Whiddett,0.761561,1,1985,1985,1
Brandon K. Harvey,Hanbing Lu,0.922508,1,2011,2011,1
V. Knoop,J. M. Cooper,0.690723,2,1999,1999,1,2000,1
Karin Kajbjer,Gunnar O. Klein,0.942568,2,2009,2009,1,2010,1
Liang Yu Loy,Kelvin Sim,0.866442,1,2012,2012,1
C. D. Vargas,James M. Kilner,0.922508,1,2012,2012,1
G. Paramasivam,Anna Saro Vijendran,0.976367,1,2012,2012,1
Lubomir Otrusina,Pavel Smrz,0.71083,1,2010,2010,1
Yuan-Yuan Sun,Kun Liu,0.527573,1,2013,2013,1
Natasha Jarymowycz,Phil Kearns,0.947492,1,2002,2002,1
Yinglei Fan,Yong Li,0.684054,1,2006,2006,1
Mazyrah Masri,Suziah Sulaiman,0.940834,1,2009,2009,1
Georgios Halkias,Efstathios D. Kyriakis-Bitzaros,0.684054,1,2007,2007,1
Shuai Che,Kevin Skadron,0.947492,11,2008,2008,2,2009,1,2010,1,2011,2,2013,2,2014,3
Daniele Gunetti,Francesco Bergadano,0.920586,10,1993,1993,7,1994,1,1996,2
Alla Korchminskaya,Tobias Hildenbrand,0.726368,1,2007,2007,1
Ling Chen,Henry Y. H. Chuang,0.97671,4,1987,1987,1,1989,1,1994,2
Sam Buss,Moritz Müller,0.752575,2,2011,2011,1,2016,1
P. G. Depledge,P. Chilton,0.642388,1,1984,1984,1
Joachim Kneis,Peter Rossmanith,0.928809,16,2005,2005,2,2006,3,2007,1,2008,2,2009,5,2010,3
Vinay Uday Prabhu,Devendra Jalihal,0.947492,1,2009,2009,1
Florian Devic,Benoît Badrignans,0.963784,4,2010,2010,1,2011,1,2012,2
Pallavi Khatri,Monika Rajput,0.85565,1,2010,2010,1
Vijay B. Aggarwal,James W. Burgmeier,0.738819,1,1979,1979,1
Giannis Milolidakis,Demosthenes Akoumianakis,0.947492,13,2007,2007,1,2008,3,2009,2,2010,1,2011,2,2012,2,2013,2
Takanori Oku,Keita Inoue,0.976367,1,2012,2012,1
Chenwang Liao,Wei Ding 0005,0.85565,1,2012,2012,1
Margaret Brown,Sid Madhavan,0.630726,1,2012,2012,1
Huadong Guo,Yong Xue,0.942568,2,2004,2004,1,2008,1
Santosh Srivastava,Maya R. Gupta,0.947492,8,2006,2006,1,2007,1,2008,3,2009,1,2010,2
Maurizio Mauri,Pietro Cipresso,0.861925,2,2011,2011,1,2015,1
Pablo P. Trabado,Antonio Lloris-Ruíz,0.855017,1,1993,1993,1
Adham Alqassis,Yu Sun 0004,0.926127,2,2012,2012,1,2013,1
Richard Eaton,Stuart F. Allen,0.684054,2,2000,2000,1,2006,1
Stefano Crosta,Laurent Bussard,0.684054,1,2003,2003,1
Petr Divina,Jirí Forejt,0.872541,1,2004,2004,1
Toshihide Miwa,Kazufumi Kaneda,0.657764,1,1991,1991,1
